Year,Month,Day,Hour,Minute,DNI
2016,1,5,10,30,976
2016,1,5,11,0,340
2016,1,5,11,30,438
2016,1,5,12,0,224
2016,1,5,12,30,79
2016,1,5,13,0,561
2016,1,5,13,30,385
2016,1,5,14,0,676
2016,1,5,14,30,991
2016,1,5,15,0,962
2016,1,5,15,30,930
2016,1,5,16,0,884
2016,1,5,16,30,820
2016,1,5,17,0,715
2016,1,5,17,30,543
2016,1,5,18,0,191
2016,1,5,18,30,0
2016,1,5,19,0,0
2016,1,5,19,30,0
2016,1,5,20,0,0
2016,1,5,20,30,0
2016,1,5,21,0,0
2016,1,5,21,30,0
2016,1,5,22,0,0
2016,1,5,22,30,0
2016,1,5,23,0,0
2016,1,5,23,30,0
2016,1,6,0,0,0
2016,1,6,0,30,0
2016,1,6,1,0,0
2016,1,6,1,30,0
2016,1,6,2,0,0
2016,1,6,2,30,0
2016,1,6,3,0,0
2016,1,6,3,30,0
2016,1,6,4,0,0
2016,1,6,4,30,0
2016,1,6,5,0,0
2016,1,6,5,30,0
2016,1,6,6,0,0
2016,1,6,6,30,0
2016,1,6,7,0,0
2016,1,6,7,30,275
2016,1,6,8,0,582
2016,1,6,8,30,735
2016,1,6,9,0,835
2016,1,6,9,30,895
2016,1,6,10,0,939
2016,1,6,10,30,967
2016,1,6,11,0,987
2016,1,6,11,30,364
2016,1,6,12,0,1011
2016,1,6,12,30,1014
2016,1,6,13,0,1013
2016,1,6,13,30,1008
2016,1,6,14,0,354
2016,1,6,14,30,985
2016,1,6,15,0,968
2016,1,6,15,30,940
2016,1,6,16,0,901
2016,1,6,16,30,841
2016,1,6,17,0,752
2016,1,6,17,30,592
2016,1,6,18,0,271
2016,1,6,18,30,0
2016,1,6,19,0,0
2016,1,6,19,30,0
2016,1,6,20,0,0
2016,1,6,20,30,0
2016,1,6,21,0,0
2016,1,6,21,30,0
2016,1,6,22,0,0
2016,1,6,22,30,0
2016,1,6,23,0,0
2016,1,6,23,30,0
2016,1,7,0,0,0
2016,1,7,0,30,0
