Year,Month,Day,Hour,Minute,DNI
2008,1,1,0,0,0
2008,1,1,0,30,0
2008,1,1,1,0,0
2008,1,1,1,30,0
2008,1,1,2,0,0
2008,1,1,2,30,0
2008,1,1,3,0,0
2008,1,1,3,30,0
2008,1,1,4,0,0
2008,1,1,4,30,0
2008,1,1,5,0,0
2008,1,1,5,30,0
2008,1,1,6,0,0
2008,1,1,6,30,0
2008,1,1,7,0,0
2008,1,1,7,30,339
2008,1,1,8,0,641
2008,1,1,8,30,785
2008,1,1,9,0,879
2008,1,1,9,30,932
2008,1,1,10,0,970
2008,1,1,10,30,994
2008,1,1,11,0,1009
2008,1,1,11,30,408
2008,1,1,12,0,189
2008,1,1,12,30,61
2008,1,1,13,0,31
2008,1,1,13,30,261
2008,1,1,14,0,352
2008,1,1,14,30,274
2008,1,1,15,0,117
2008,1,1,15,30,0
2008,1,1,16,0,32
2008,1,1,16,30,0
2008,1,1,17,0,4
2008,1,1,17,30,0
2008,1,1,18,0,0
2008,1,1,18,30,0
2008,1,1,19,0,0
2008,1,1,19,30,0
2008,1,1,20,0,0
2008,1,1,20,30,0
2008,1,1,21,0,0
2008,1,1,21,30,0
2008,1,1,22,0,0
2008,1,1,22,30,0
2008,1,1,23,0,0
2008,1,1,23,30,0
2008,1,2,0,0,0
2008,1,2,0,30,0
2008,1,2,1,0,0
2008,1,2,1,30,0
2008,1,2,2,0,0
2008,1,2,2,30,0
2008,1,2,3,0,0
2008,1,2,3,30,0
2008,1,2,4,0,0
2008,1,2,4,30,0
2008,1,2,5,0,0
2008,1,2,5,30,0
2008,1,2,6,0,0
2008,1,2,6,30,0
2008,1,2,7,0,0
2008,1,2,7,30,0
2008,1,2,8,0,0
2008,1,2,8,30,0
2008,1,2,9,0,0
2008,1,2,9,30,0
2008,1,2,10,0,1
2008,1,2,10,30,12
2008,1,2,11,0,13
2008,1,2,11,30,42
2008,1,2,12,0,31
2008,1,2,12,30,31
2008,1,2,13,0,37
2008,1,2,13,30,48
2008,1,2,14,0,39
2008,1,2,14,30,19
2008,1,2,15,0,77
2008,1,2,15,30,57
2008,1,2,16,0,97
2008,1,2,16,30,27
2008,1,2,17,0,678
2008,1,2,17,30,493
2008,1,2,18,0,142
2008,1,2,18,30,0
2008,1,2,19,0,0
2008,1,2,19,30,0
2008,1,2,20,0,0
2008,1,2,20,30,0
2008,1,2,21,0,0
2008,1,2,21,30,0
2008,1,2,22,0,0
2008,1,2,22,30,0
2008,1,2,23,0,0
2008,1,2,23,30,0
2008,1,3,0,0,0
2008,1,3,0,30,0
2008,1,3,1,0,0
2008,1,3,1,30,0
2008,1,3,2,0,0
2008,1,3,2,30,0
2008,1,3,3,0,0
2008,1,3,3,30,0
2008,1,3,4,0,0
2008,1,3,4,30,0
2008,1,3,5,0,0
2008,1,3,5,30,0
2008,1,3,6,0,0
2008,1,3,6,30,0
2008,1,3,7,0,0
2008,1,3,7,30,374
2008,1,3,8,0,658
2008,1,3,8,30,797
2008,1,3,9,0,880
2008,1,3,9,30,934
2008,1,3,10,0,969
2008,1,3,10,30,995
2008,1,3,11,0,1011
2008,1,3,11,30,1024
2008,1,3,12,0,1024
2008,1,3,12,30,1027
2008,1,3,13,0,1020
2008,1,3,13,30,1014
2008,1,3,14,0,997
2008,1,3,14,30,981
2008,1,3,15,0,950
2008,1,3,15,30,918
2008,1,3,16,0,863
2008,1,3,16,30,795
2008,1,3,17,0,687
2008,1,3,17,30,510
2008,1,3,18,0,171
2008,1,3,18,30,0
2008,1,3,19,0,0
2008,1,3,19,30,0
2008,1,3,20,0,0
2008,1,3,20,30,0
2008,1,3,21,0,0
2008,1,3,21,30,0
2008,1,3,22,0,0
2008,1,3,22,30,0
2008,1,3,23,0,0
2008,1,3,23,30,0
2008,1,4,0,0,0
2008,1,4,0,30,0
2008,1,4,1,0,0
2008,1,4,1,30,0
2008,1,4,2,0,0
2008,1,4,2,30,0
2008,1,4,3,0,0
2008,1,4,3,30,0
2008,1,4,4,0,0
2008,1,4,4,30,0
2008,1,4,5,0,0
2008,1,4,5,30,0
2008,1,4,6,0,0
2008,1,4,6,30,0
2008,1,4,7,0,0
2008,1,4,7,30,339
2008,1,4,8,0,626
2008,1,4,8,30,772
2008,1,4,9,0,859
2008,1,4,9,30,916
2008,1,4,10,0,953
2008,1,4,10,30,981
2008,1,4,11,0,998
2008,1,4,11,30,1011
2008,1,4,12,0,1012
2008,1,4,12,30,1015
2008,1,4,13,0,1007
2008,1,4,13,30,1001
2008,1,4,14,0,981
2008,1,4,14,30,964
2008,1,4,15,0,922
2008,1,4,15,30,886
2008,1,4,16,0,823
2008,1,4,16,30,751
2008,1,4,17,0,627
2008,1,4,17,30,447
2008,1,4,18,0,124
2008,1,4,18,30,0
2008,1,4,19,0,0
2008,1,4,19,30,0
2008,1,4,20,0,0
2008,1,4,20,30,0
2008,1,4,21,0,0
2008,1,4,21,30,0
2008,1,4,22,0,0
2008,1,4,22,30,0
2008,1,4,23,0,0
2008,1,4,23,30,0
2008,1,5,0,0,0
2008,1,5,0,30,0
2008,1,5,1,0,0
2008,1,5,1,30,0
2008,1,5,2,0,0
2008,1,5,2,30,0
2008,1,5,3,0,0
2008,1,5,3,30,0
2008,1,5,4,0,0
2008,1,5,4,30,0
2008,1,5,5,0,0
2008,1,5,5,30,0
2008,1,5,6,0,0
2008,1,5,6,30,0
2008,1,5,7,0,0
2008,1,5,7,30,285
2008,1,5,8,0,587
2008,1,5,8,30,741
2008,1,5,9,0,841
2008,1,5,9,30,901
2008,1,5,10,0,944
2008,1,5,10,30,973
2008,1,5,11,0,990
2008,1,5,11,30,519
2008,1,5,12,0,1004
2008,1,5,12,30,1007
2008,1,5,13,0,997
2008,1,5,13,30,991
2008,1,5,14,0,970
2008,1,5,14,30,952
2008,1,5,15,0,912
2008,1,5,15,30,875
2008,1,5,16,0,434
2008,1,5,16,30,732
2008,1,5,17,0,608
2008,1,5,17,30,428
2008,1,5,18,0,123
2008,1,5,18,30,0
2008,1,5,19,0,0
2008,1,5,19,30,0
2008,1,5,20,0,0
2008,1,5,20,30,0
2008,1,5,21,0,0
2008,1,5,21,30,0
2008,1,5,22,0,0
2008,1,5,22,30,0
2008,1,5,23,0,0
2008,1,5,23,30,0
2008,1,6,0,0,0
2008,1,6,0,30,0
2008,1,6,1,0,0
2008,1,6,1,30,0
2008,1,6,2,0,0
2008,1,6,2,30,0
2008,1,6,3,0,0
2008,1,6,3,30,0
2008,1,6,4,0,0
2008,1,6,4,30,0
2008,1,6,5,0,0
2008,1,6,5,30,0
2008,1,6,6,0,0
2008,1,6,6,30,0
2008,1,6,7,0,0
2008,1,6,7,30,307
2008,1,6,8,0,605
2008,1,6,8,30,758
2008,1,6,9,0,852
2008,1,6,9,30,912
2008,1,6,10,0,952
2008,1,6,10,30,981
2008,1,6,11,0,998
2008,1,6,11,30,1012
2008,1,6,12,0,1007
2008,1,6,12,30,1010
2008,1,6,13,0,1001
2008,1,6,13,30,995
2008,1,6,14,0,974
2008,1,6,14,30,957
2008,1,6,15,0,957
2008,1,6,15,30,924
2008,1,6,16,0,863
2008,1,6,16,30,795
2008,1,6,17,0,678
2008,1,6,17,30,502
2008,1,6,18,0,172
2008,1,6,18,30,0
2008,1,6,19,0,0
2008,1,6,19,30,0
2008,1,6,20,0,0
2008,1,6,20,30,0
2008,1,6,21,0,0
2008,1,6,21,30,0
2008,1,6,22,0,0
2008,1,6,22,30,0
2008,1,6,23,0,0
2008,1,6,23,30,0
2008,1,7,0,0,0
2008,1,7,0,30,0
2008,1,7,1,0,0
2008,1,7,1,30,0
2008,1,7,2,0,0
2008,1,7,2,30,0
2008,1,7,3,0,0
2008,1,7,3,30,0
2008,1,7,4,0,0
2008,1,7,4,30,0
2008,1,7,5,0,0
2008,1,7,5,30,0
2008,1,7,6,0,0
2008,1,7,6,30,0
2008,1,7,7,0,0
2008,1,7,7,30,307
2008,1,7,8,0,609
2008,1,7,8,30,762
2008,1,7,9,0,858
2008,1,7,9,30,917
2008,1,7,10,0,959
2008,1,7,10,30,987
2008,1,7,11,0,1006
2008,1,7,11,30,1018
2008,1,7,12,0,1024
2008,1,7,12,30,1027
2008,1,7,13,0,1022
2008,1,7,13,30,1016
2008,1,7,14,0,1002
2008,1,7,14,30,986
2008,1,7,15,0,963
2008,1,7,15,30,931
2008,1,7,16,0,883
2008,1,7,16,30,119
2008,1,7,17,0,103
2008,1,7,17,30,553
2008,1,7,18,0,234
2008,1,7,18,30,0
2008,1,7,19,0,0
2008,1,7,19,30,0
2008,1,7,20,0,0
2008,1,7,20,30,0
2008,1,7,21,0,0
2008,1,7,21,30,0
2008,1,7,22,0,0
2008,1,7,22,30,0
2008,1,7,23,0,0
2008,1,7,23,30,0
2008,1,8,0,0,0
2008,1,8,0,30,0
2008,1,8,1,0,0
2008,1,8,1,30,0
2008,1,8,2,0,0
2008,1,8,2,30,0
2008,1,8,3,0,0
2008,1,8,3,30,0
2008,1,8,4,0,0
2008,1,8,4,30,0
2008,1,8,5,0,0
2008,1,8,5,30,0
2008,1,8,6,0,0
2008,1,8,6,30,0
2008,1,8,7,0,0
2008,1,8,7,30,343
2008,1,8,8,0,638
2008,1,8,8,30,786
2008,1,8,9,0,871
2008,1,8,9,30,928
2008,1,8,10,0,967
2008,1,8,10,30,994
2008,1,8,11,0,1012
2008,1,8,11,30,1024
2008,1,8,12,0,1029
2008,1,8,12,30,1032
2008,1,8,13,0,1028
2008,1,8,13,30,1022
2008,1,8,14,0,1008
2008,1,8,14,30,992
2008,1,8,15,0,966
2008,1,8,15,30,934
2008,1,8,16,0,886
2008,1,8,16,30,822
2008,1,8,17,0,720
2008,1,8,17,30,555
2008,1,8,18,0,231
2008,1,8,18,30,0
2008,1,8,19,0,0
2008,1,8,19,30,0
2008,1,8,20,0,0
2008,1,8,20,30,0
2008,1,8,21,0,0
2008,1,8,21,30,0
2008,1,8,22,0,0
2008,1,8,22,30,0
2008,1,8,23,0,0
2008,1,8,23,30,0
2008,1,9,0,0,0
2008,1,9,0,30,0
2008,1,9,1,0,0
2008,1,9,1,30,0
2008,1,9,2,0,0
2008,1,9,2,30,0
2008,1,9,3,0,0
