Year,Month,Day,Hour,Minute,DNI
1999,1,1,0,0,0
1999,1,1,0,30,0
1999,1,1,1,0,0
1999,1,1,1,30,0
1999,1,1,2,0,0
1999,1,1,2,30,0
1999,1,1,3,0,0
1999,1,1,3,30,0
1999,1,1,4,0,0
1999,1,1,4,30,0
1999,1,1,5,0,0
1999,1,1,5,30,0
1999,1,1,6,0,0
1999,1,1,6,30,0
1999,1,1,7,0,0
1999,1,1,7,30,164
1999,1,1,8,0,448
1999,1,1,8,30,610
1999,1,1,9,0,728
1999,1,1,9,30,797
1999,1,1,10,0,845
1999,1,1,10,30,879
1999,1,1,11,0,900
1999,1,1,11,30,916
1999,1,1,12,0,922
1999,1,1,12,30,926
1999,1,1,13,0,917
1999,1,1,13,30,910
1999,1,1,14,0,888
1999,1,1,14,30,868
1999,1,1,15,0,822
1999,1,1,15,30,780
1999,1,1,16,0,721
1999,1,1,16,30,639
1999,1,1,17,0,528
1999,1,1,17,30,342
1999,1,1,18,0,68
1999,1,1,18,30,0
1999,1,1,19,0,0
1999,1,1,19,30,0
1999,1,1,20,0,0
1999,1,1,20,30,0
1999,1,1,21,0,0
1999,1,1,21,30,0
1999,1,1,22,0,0
1999,1,1,22,30,0
1999,1,1,23,0,0
1999,1,1,23,30,0
1999,1,2,0,0,0
1999,1,2,0,30,0
1999,1,2,1,0,0
1999,1,2,1,30,0
1999,1,2,2,0,0
1999,1,2,2,30,0
1999,1,2,3,0,0
1999,1,2,3,30,0
1999,1,2,4,0,0
1999,1,2,4,30,0
1999,1,2,5,0,0
1999,1,2,5,30,0
1999,1,2,6,0,0
1999,1,2,6,30,0
1999,1,2,7,0,0
1999,1,2,7,30,372
1999,1,2,8,0,665
1999,1,2,8,30,807
1999,1,2,9,0,896
1999,1,2,9,30,950
1999,1,2,10,0,985
1999,1,2,10,30,1010
1999,1,2,11,0,1023
1999,1,2,11,30,1034
1999,1,2,12,0,1035
1999,1,2,12,30,1037
1999,1,2,13,0,1028
1999,1,2,13,30,1021
1999,1,2,14,0,1002
1999,1,2,14,30,984
1999,1,2,15,0,950
1999,1,2,15,30,915
1999,1,2,16,0,855
1999,1,2,16,30,784
1999,1,2,17,0,664
1999,1,2,17,30,482
1999,1,2,18,0,142
1999,1,2,18,30,0
1999,1,2,19,0,0
1999,1,2,19,30,0
1999,1,2,20,0,0
1999,1,2,20,30,0
1999,1,2,21,0,0
1999,1,2,21,30,0
1999,1,2,22,0,0
1999,1,2,22,30,0
1999,1,2,23,0,0
1999,1,2,23,30,0
1999,1,3,0,0,0
1999,1,3,0,30,0
1999,1,3,1,0,0
1999,1,3,1,30,0
1999,1,3,2,0,0
1999,1,3,2,30,0
1999,1,3,3,0,0
1999,1,3,3,30,0
1999,1,3,4,0,0
1999,1,3,4,30,0
1999,1,3,5,0,0
1999,1,3,5,30,0
1999,1,3,6,0,0
1999,1,3,6,30,0
1999,1,3,7,0,0
1999,1,3,7,30,309
1999,1,3,8,0,629
1999,1,3,8,30,777
1999,1,3,9,0,887
1999,1,3,9,30,942
1999,1,3,10,0,986
1999,1,3,10,30,1012
1999,1,3,11,0,1030
1999,1,3,11,30,1042
1999,1,3,12,0,1046
1999,1,3,12,30,1048
1999,1,3,13,0,1044
1999,1,3,13,30,1038
1999,1,3,14,0,1024
1999,1,3,14,30,1009
1999,1,3,15,0,983
1999,1,3,15,30,953
1999,1,3,16,0,904
1999,1,3,16,30,840
1999,1,3,17,0,735
1999,1,3,17,30,564
1999,1,3,18,0,219
1999,1,3,18,30,0
1999,1,3,19,0,0
1999,1,3,19,30,0
1999,1,3,20,0,0
1999,1,3,20,30,0
1999,1,3,21,0,0
1999,1,3,21,30,0
1999,1,3,22,0,0
1999,1,3,22,30,0
1999,1,3,23,0,0
1999,1,3,23,30,0
1999,1,4,0,0,0
1999,1,4,0,30,0
1999,1,4,1,0,0
1999,1,4,1,30,0
1999,1,4,2,0,0
1999,1,4,2,30,0
1999,1,4,3,0,0
1999,1,4,3,30,0
1999,1,4,4,0,0
1999,1,4,4,30,0
1999,1,4,5,0,0
1999,1,4,5,30,0
1999,1,4,6,0,0
1999,1,4,6,30,0
1999,1,4,7,0,0
1999,1,4,7,30,311
1999,1,4,8,0,615
1999,1,4,8,30,764
1999,1,4,9,0,864
1999,1,4,9,30,921
1999,1,4,10,0,962
1999,1,4,10,30,989
1999,1,4,11,0,1007
1999,1,4,11,30,1019
1999,1,4,12,0,1024
1999,1,4,12,30,1026
1999,1,4,13,0,1020
1999,1,4,13,30,1013
1999,1,4,14,0,995
1999,1,4,14,30,602
1999,1,4,15,0,700
1999,1,4,15,30,621
1999,1,4,16,0,500
1999,1,4,16,30,226
1999,1,4,17,0,184
1999,1,4,17,30,131
1999,1,4,18,0,0
1999,1,4,18,30,0
1999,1,4,19,0,0
1999,1,4,19,30,0
1999,1,4,20,0,0
1999,1,4,20,30,0
1999,1,4,21,0,0
1999,1,4,21,30,0
1999,1,4,22,0,0
1999,1,4,22,30,0
1999,1,4,23,0,0
1999,1,4,23,30,0
1999,1,5,0,0,0
1999,1,5,0,30,0
1999,1,5,1,0,0
1999,1,5,1,30,0
1999,1,5,2,0,0
1999,1,5,2,30,0
1999,1,5,3,0,0
1999,1,5,3,30,0
1999,1,5,4,0,0
1999,1,5,4,30,0
