Year,Month,Day,Hour,Minute,DNI
2012,1,1,0,0,0
2012,1,1,0,30,0
2012,1,1,1,0,0
2012,1,1,1,30,0
2012,1,1,2,0,0
2012,1,1,2,30,0
2012,1,1,3,0,0
2012,1,1,3,30,0
2012,1,1,4,0,0
2012,1,1,4,30,0
2012,1,1,5,0,0
2012,1,1,5,30,0
2012,1,1,6,0,0
2012,1,1,6,30,0
2012,1,1,7,0,0
2012,1,1,7,30,236
2012,1,1,8,0,530
2012,1,1,8,30,687
2012,1,1,9,0,395
2012,1,1,9,30,861
2012,1,1,10,0,910
2012,1,1,10,30,941
2012,1,1,11,0,963
2012,1,1,11,30,977
2012,1,1,12,0,984
2012,1,1,12,30,988
2012,1,1,13,0,983
2012,1,1,13,30,632
2012,1,1,14,0,558
2012,1,1,14,30,608
2012,1,1,15,0,686
2012,1,1,15,30,420
2012,1,1,16,0,470
2012,1,1,16,30,29
2012,1,1,17,0,573
2012,1,1,17,30,379
2012,1,1,18,0,0
2012,1,1,18,30,0
2012,1,1,19,0,0
2012,1,1,19,30,0
2012,1,1,20,0,0
2012,1,1,20,30,0
2012,1,1,21,0,0
2012,1,1,21,30,0
2012,1,1,22,0,0
2012,1,1,22,30,0
2012,1,1,23,0,0
2012,1,1,23,30,0
2012,1,2,0,0,0
2012,1,2,0,30,0
2012,1,2,1,0,0
2012,1,2,1,30,0
2012,1,2,2,0,0
2012,1,2,2,30,0
2012,1,2,3,0,0
2012,1,2,3,30,0
2012,1,2,4,0,0
2012,1,2,4,30,0
2012,1,2,5,0,0
2012,1,2,5,30,0
2012,1,2,6,0,0
2012,1,2,6,30,0
2012,1,2,7,0,0
2012,1,2,7,30,0
2012,1,2,8,0,35
2012,1,2,8,30,52
2012,1,2,9,0,0
2012,1,2,9,30,231
2012,1,2,10,0,13
2012,1,2,10,30,1
2012,1,2,11,0,83
2012,1,2,11,30,19
2012,1,2,12,0,8
2012,1,2,12,30,5
2012,1,2,13,0,7
2012,1,2,13,30,8
2012,1,2,14,0,5
2012,1,2,14,30,3
2012,1,2,15,0,1
2012,1,2,15,30,0
2012,1,2,16,0,0
2012,1,2,16,30,0
2012,1,2,17,0,0
2012,1,2,17,30,0
2012,1,2,18,0,0
2012,1,2,18,30,0
2012,1,2,19,0,0
2012,1,2,19,30,0
2012,1,2,20,0,0
2012,1,2,20,30,0
2012,1,2,21,0,0
2012,1,2,21,30,0
2012,1,2,22,0,0
2012,1,2,22,30,0
2012,1,2,23,0,0
2012,1,2,23,30,0
2012,1,3,0,0,0
2012,1,3,0,30,0
2012,1,3,1,0,0
2012,1,3,1,30,0
2012,1,3,2,0,0
2012,1,3,2,30,0
2012,1,3,3,0,0
2012,1,3,3,30,0
2012,1,3,4,0,0
2012,1,3,4,30,0
2012,1,3,5,0,0
2012,1,3,5,30,0
2012,1,3,6,0,0
2012,1,3,6,30,0
2012,1,3,7,0,0
2012,1,3,7,30,0
2012,1,3,8,0,0
2012,1,3,8,30,0
2012,1,3,9,0,0
2012,1,3,9,30,0
2012,1,3,10,0,5
2012,1,3,10,30,264
2012,1,3,11,0,247
2012,1,3,11,30,1023
2012,1,3,12,0,1011
2012,1,3,12,30,1014
2012,1,3,13,0,1007
2012,1,3,13,30,1001
2012,1,3,14,0,980
2012,1,3,14,30,436
2012,1,3,15,0,491
2012,1,3,15,30,392
2012,1,3,16,0,289
2012,1,3,16,30,377
2012,1,3,17,0,180
2012,1,3,17,30,114
2012,1,3,18,0,0
2012,1,3,18,30,0
2012,1,3,19,0,0
2012,1,3,19,30,0
2012,1,3,20,0,0
2012,1,3,20,30,0
2012,1,3,21,0,0
2012,1,3,21,30,0
2012,1,3,22,0,0
2012,1,3,22,30,0
2012,1,3,23,0,0
2012,1,3,23,30,0
2012,1,4,0,0,0
2012,1,4,0,30,0
2012,1,4,1,0,0
2012,1,4,1,30,0
2012,1,4,2,0,0
2012,1,4,2,30,0
2012,1,4,3,0,0
2012,1,4,3,30,0
2012,1,4,4,0,0
2012,1,4,4,30,0
2012,1,4,5,0,0
2012,1,4,5,30,0
2012,1,4,6,0,0
2012,1,4,6,30,0
2012,1,4,7,0,0
2012,1,4,7,30,303
2012,1,4,8,0,601
2012,1,4,8,30,752
2012,1,4,9,0,847
2012,1,4,9,30,906
2012,1,4,10,0,946
2012,1,4,10,30,975
2012,1,4,11,0,992
2012,1,4,11,30,1005
2012,1,4,12,0,477
2012,1,4,12,30,615
2012,1,4,13,0,530
2012,1,4,13,30,980
2012,1,4,14,0,449
2012,1,4,14,30,580
2012,1,4,15,0,911
2012,1,4,15,30,454
2012,1,4,16,0,664
2012,1,4,16,30,544
2012,1,4,17,0,0
2012,1,4,17,30,0
2012,1,4,18,0,0
2012,1,4,18,30,0
2012,1,4,19,0,0
2012,1,4,19,30,0
2012,1,4,20,0,0
2012,1,4,20,30,0
2012,1,4,21,0,0
2012,1,4,21,30,0
2012,1,4,22,0,0
2012,1,4,22,30,0
