Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature
2008,1,1,0,30,0,0,100,8
2008,1,1,1,30,0,0,100,7
2008,1,1,2,30,0,0,100,7
2008,1,1,3,30,0,0,100,7
2008,1,1,4,30,0,0,100,7
2008,1,1,5,30,0,0,100,6
2008,1,1,6,30,0,0,100,6
2008,1,1,7,30,339,0,86.17,7
2008,1,1,8,30,785,0,67.78,10
2008,1,1,9,30,932,0,53.23,13
2008,1,1,10,30,994,0,46.72,16
2008,1,1,11,30,408,3,45.49,17
2008,1,1,12,30,61,3,44.94,18
2008,1,1,13,30,261,3,44.01,18
2008,1,1,14,30,274,3,48.26,17
2008,1,1,15,30,0,4,52.58,16
2008,1,1,16,30,0,4,65.19,13
2008,1,1,17,30,0,4,81.13,10
2008,1,1,18,30,0,4,96.23,8
2008,1,1,19,30,0,4,100,6
2008,1,1,20,30,0,4,96.92,4
2008,1,1,21,30,0,4,94.57,3
2008,1,1,22,30,0,4,92.1,3
2008,1,1,23,30,0,4,91.01,2
2008,1,2,0,30,0,4,86.66,1
2008,1,2,1,30,0,4,84.1,1
2008,1,2,2,30,0,4,82.19,0
2008,1,2,3,30,0,4,80.82,0
2008,1,2,4,30,0,4,86.07,0
2008,1,2,5,30,0,4,85.86,0
2008,1,2,6,30,0,4,79.82,0
2008,1,2,7,30,0,4,80.43,1
2008,1,2,8,30,0,4,68.7,4
2008,1,2,9,30,0,4,59.28,7
2008,1,2,10,30,12,4,54.63,10
2008,1,2,11,30,42,4,53.07,11
2008,1,2,12,30,31,4,50.77,12
2008,1,2,13,30,48,4,51.26,12
2008,1,2,14,30,19,4,54.48,11
2008,1,2,15,30,57,4,57.08,10
2008,1,2,16,30,27,4,63.63,8
2008,1,2,17,30,493,4,75.97,5
2008,1,2,18,30,0,1,84.31,3
2008,1,2,19,30,0,4,86.92,1
2008,1,2,20,30,0,1,84.11,1
2008,1,2,21,30,0,0,81.86,0
2008,1,2,22,30,0,0,85.27,0
2008,1,2,23,30,0,1,82.96,0
2008,1,3,0,30,0,1,80.92,0
2008,1,3,1,30,0,0,79.52,0
2008,1,3,2,30,0,0,79.3,0
2008,1,3,3,30,0,0,80.16,0
2008,1,3,4,30,0,0,81.39,0
2008,1,3,5,30,0,0,83.32,0
2008,1,3,6,30,0,0,79.7,0
2008,1,3,7,30,374,0,76.45,2
2008,1,3,8,30,797,0,65.99,6
2008,1,3,9,30,934,0,51.35,11
2008,1,3,10,30,995,0,41.25,14
2008,1,3,11,30,1024,0,35.14,17
2008,1,3,12,30,1027,0,33.91,18
2008,1,3,13,30,1014,0,32.55,19
2008,1,3,14,30,981,0,33.12,19
2008,1,3,15,30,918,0,35.82,18
2008,1,3,16,30,795,0,44.22,16
2008,1,3,17,30,510,0,59.35,12
2008,1,3,18,30,0,0,78.19,9
2008,1,3,19,30,0,0,86.5,7
2008,1,3,20,30,0,0,90.55,6
2008,1,3,21,30,0,0,95.19,5
2008,1,3,22,30,0,0,100,4
2008,1,3,23,30,0,0,97.81,4
2008,1,4,0,30,0,0,100,3
