Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature
2016,1,1,0,30,0,8,95.29,12
2016,1,1,1,30,0,8,94.82,11
2016,1,1,2,30,0,1,100,11
2016,1,1,3,30,0,0,99.56,11
2016,1,1,4,30,0,0,98.6,10
2016,1,1,5,30,0,0,100,10
2016,1,1,6,30,0,0,100,10
2016,1,1,7,30,247,1,96.75,11
2016,1,1,8,30,694,1,76.14,15
2016,1,1,9,30,857,1,57.96,18
2016,1,1,10,30,932,0,45.85,21
2016,1,1,11,30,970,0,41.42,22
2016,1,1,12,30,982,0,37.68,23
2016,1,1,13,30,975,0,34.74,24
2016,1,1,14,30,944,0,36.42,24
2016,1,1,15,30,879,1,38.88,23
2016,1,1,16,30,750,1,45.12,21
2016,1,1,17,30,452,1,60.12,18
2016,1,1,18,30,0,1,72.61,15
2016,1,1,19,30,0,1,84.61,14
2016,1,1,20,30,0,1,92.06,13
2016,1,1,21,30,0,1,93.09,12
2016,1,1,22,30,0,1,100,12
2016,1,1,23,30,0,3,99.94,12
2016,1,2,0,30,0,3,99.09,11
2016,1,2,1,30,0,3,100,11
2016,1,2,2,30,0,3,100,11
2016,1,2,3,30,0,3,100,10
2016,1,2,4,30,0,3,100,10
2016,1,2,5,30,0,1,100,10
2016,1,2,6,30,0,3,100,10
2016,1,2,7,30,173,1,94.38,11
2016,1,2,8,30,63,3,79.44,14
2016,1,2,9,30,232,3,64.47,17
2016,1,2,10,30,895,1,55.17,20
2016,1,2,11,30,935,1,51.08,21
2016,1,2,12,30,940,0,47.8,22
2016,1,2,13,30,933,1,44.92,22
2016,1,2,14,30,910,1,47.65,22
2016,1,2,15,30,838,1,50.54,21
2016,1,2,16,30,35,3,53.95,20
2016,1,2,17,30,420,8,65.07,17
2016,1,2,18,30,0,1,75.8,15
2016,1,2,19,30,0,3,81.33,14
2016,1,2,20,30,0,1,86.5,14
2016,1,2,21,30,0,1,91.3,13
2016,1,2,22,30,0,1,96.57,12
2016,1,2,23,30,0,1,100,11
2016,1,3,0,30,0,1,100,10
2016,1,3,1,30,0,1,100,10
2016,1,3,2,30,0,3,100,10
2016,1,3,3,30,0,3,100,10
2016,1,3,4,30,0,1,100,10
2016,1,3,5,30,0,1,100,9
2016,1,3,6,30,0,1,100,9
2016,1,3,7,30,179,3,100,11
2016,1,3,8,30,303,3,79.08,15
2016,1,3,9,30,224,3,64.25,18
2016,1,3,10,30,418,3,53.46,20
