Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature
2003,1,1,0,30,0,7,92.4,8
2003,1,1,1,30,0,7,91.82,7
2003,1,1,2,30,0,7,91.16,7
2003,1,1,3,30,0,7,90.38,7
2003,1,1,4,30,0,7,89.06,7
2003,1,1,5,30,0,8,93.77,7
2003,1,1,6,30,0,7,91.95,7
2003,1,1,7,30,361,0,74.33,10
2003,1,1,8,30,780,0,60.71,14
2003,1,1,9,30,922,0,47.35,17
2003,1,1,10,30,984,0,37.5,19
2003,1,1,11,30,1008,0,35.56,20
2003,1,1,12,30,1009,0,34.12,21
2003,1,1,13,30,992,0,35.04,22
2003,1,1,14,30,952,0,35.96,21
2003,1,1,15,30,882,0,38.75,20
2003,1,1,16,30,313,8,44.5,18
2003,1,1,17,30,310,7,62.27,15
2003,1,1,18,30,0,7,74.39,13
2003,1,1,19,30,0,7,74.47,12
2003,1,1,20,30,0,7,79.5,11
2003,1,1,21,30,0,7,79.61,11
2003,1,1,22,30,0,6,85.25,11
2003,1,1,23,30,0,7,85.17,10
2003,1,2,0,30,0,8,91.04,10
2003,1,2,1,30,0,7,90.75,10
2003,1,2,2,30,0,8,90.01,10
2003,1,2,3,30,0,7,89.42,9
2003,1,2,4,30,0,4,95.22,9
2003,1,2,5,30,0,4,94.71,8
2003,1,2,6,30,0,1,93.57,8
2003,1,2,7,30,233,1,85.83,9
2003,1,2,8,30,653,0,77.87,11
2003,1,2,9,30,803,0,63.09,13
2003,1,2,10,30,611,7,52.54,15
2003,1,2,11,30,918,0,44.8,17
2003,1,2,12,30,546,3,41.24,18
2003,1,2,13,30,485,8,38.61,19
2003,1,2,14,30,608,8,36.44,19
2003,1,2,15,30,800,0,39.33,18
2003,1,2,16,30,683,7,45.97,17
2003,1,2,17,30,0,8,62.94,14
2003,1,2,18,30,0,4,73.99,12
2003,1,2,19,30,0,4,78.32,11
2003,1,2,20,30,0,7,83.38,10
2003,1,2,21,30,0,0,82.54,9
2003,1,2,22,30,0,0,87.34,9
2003,1,2,23,30,0,7,86.76,8
2003,1,3,0,30,0,0,92.73,8
2003,1,3,1,30,0,0,92.53,8
2003,1,3,2,30,0,0,97.99,7
2003,1,3,3,30,0,0,96.58,6
2003,1,3,4,30,0,0,100,6
2003,1,3,5,30,0,1,100,5
2003,1,3,6,30,0,1,98.63,5
2003,1,3,7,30,104,3,85.04,7
2003,1,3,8,30,518,0,64.34,11
2003,1,3,9,30,719,0,55.02,15
2003,1,3,10,30,370,4,46.46,17
2003,1,3,11,30,852,0,42.97,19
2003,1,3,12,30,780,1,39.3,20
2003,1,3,13,30,658,7,38.43,19
2003,1,3,14,30,669,7,40.63,18
2003,1,3,15,30,436,7,43.57,17
2003,1,3,16,30,285,8,47.03,16
2003,1,3,17,30,104,7,62.38,14
2003,1,3,18,30,0,7,72.1,12
2003,1,3,19,30,0,7,74.14,11
2003,1,3,20,30,0,4,78.37,10
2003,1,3,21,30,0,4,82.04,9
2003,1,3,22,30,0,0,81.18,8
2003,1,3,23,30,0,3,86.6,8
2003,1,4,0,30,0,0,86.7,7
2003,1,4,1,30,0,0,93.83,7
2003,1,4,2,30,0,0,95.17,7
2003,1,4,3,30,0,0,97.42,7
2003,1,4,4,30,0,0,99.83,7
2003,1,4,5,30,0,0,100,7
2003,1,4,6,30,0,0,100,7
2003,1,4,7,30,85,1,86.12,9
2003,1,4,8,30,493,0,66.93,13
2003,1,4,9,30,701,0,48.84,16
2003,1,4,10,30,801,0,40.66,18
2003,1,4,11,30,846,0,37.04,19
2003,1,4,12,30,898,0,34.04,20
2003,1,4,13,30,875,0,33.73,21
2003,1,4,14,30,825,3,35.95,20
2003,1,4,15,30,708,1,38.47,19
2003,1,4,16,30,68,3,44.58,17
2003,1,4,17,30,0,7,56.72,14
2003,1,4,18,30,0,4,69.48,12
2003,1,4,19,30,0,4,76.7,11
2003,1,4,20,30,0,4,74.81,11
2003,1,4,21,30,0,7,71.85,11
2003,1,4,22,30,0,7,69.63,10
2003,1,4,23,30,0,7,73.11,10
2003,1,5,0,30,0,4,71.6,9
2003,1,5,1,30,0,7,76.6,9
2003,1,5,2,30,0,7,76.38,8
2003,1,5,3,30,0,7,82,8
2003,1,5,4,30,0,7,82.05,8
2003,1,5,5,30,0,7,81.61,8
2003,1,5,6,30,0,7,80.89,8
2003,1,5,7,30,10,7,71.5,9
2003,1,5,8,30,257,7,56.88,13
2003,1,5,9,30,143,4,39.12,16
2003,1,5,10,30,482,7,32.25,19
2003,1,5,11,30,421,7,31.51,20
2003,1,5,12,30,459,7,31.07,21
2003,1,5,13,30,475,8,34.87,20
2003,1,5,14,30,116,3,39.75,19
2003,1,5,15,30,125,4,45.6,18
2003,1,5,16,30,0,4,56.13,16
2003,1,5,17,30,17,7,73.82,14
2003,1,5,18,30,0,8,81.84,13
2003,1,5,19,30,0,4,82.48,12
2003,1,5,20,30,0,4,87.37,12
2003,1,5,21,30,0,7,85.71,11
2003,1,5,22,30,0,3,84.48,11
