Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature
2015,1,1,0,30,0,0,100,10
2015,1,1,1,30,0,0,100,9
2015,1,1,2,30,0,0,100,9
2015,1,1,3,30,0,0,100,8
2015,1,1,4,30,0,0,100,8
2015,1,1,5,30,0,0,100,7
2015,1,1,6,30,0,0,100,7
2015,1,1,7,30,295,0,97.8,9
2015,1,1,8,30,779,0,74.1,13
2015,1,1,9,30,943,0,50.34,16
2015,1,1,10,30,1008,0,35.2,18
2015,1,1,11,30,1036,0,31.72,20
2015,1,1,12,30,1041,1,29.79,21
2015,1,1,13,30,1031,0,30.39,21
2015,1,1,14,30,1003,0,31.48,20
2015,1,1,15,30,946,0,34.73,19
2015,1,1,16,30,836,0,40.62,17
2015,1,1,17,30,560,0,59.74,14
2015,1,1,18,30,0,0,66.48,12
2015,1,1,19,30,0,0,75.13,11
2015,1,1,20,30,0,0,79.15,10
2015,1,1,21,30,0,0,82.99,9
2015,1,1,22,30,0,0,81.54,8
2015,1,1,23,30,0,0,87.05,8
2015,1,2,0,30,0,0,95.26,7
2015,1,2,1,30,0,0,99.22,7
2015,1,2,2,30,0,0,100,7
2015,1,2,3,30,0,0,100,7
2015,1,2,4,30,0,0,100,7
2015,1,2,5,30,0,0,100,6
2015,1,2,6,30,0,0,100,6
2015,1,2,7,30,272,0,95.59,9
2015,1,2,8,30,738,0,80.16,12
2015,1,2,9,30,907,0,60.95,15
2015,1,2,10,30,979,0,50.3,17
2015,1,2,11,30,1011,3,46.62,18
2015,1,2,12,30,295,3,43.85,19
2015,1,2,13,30,1006,0,44.23,19
2015,1,2,14,30,968,0,47.65,18
2015,1,2,15,30,900,0,51.16,17
2015,1,2,16,30,782,0,53.98,16
2015,1,2,17,30,495,0,68.7,13
2015,1,2,18,30,0,0,85.13,11
2015,1,2,19,30,0,7,83.62,10
2015,1,2,20,30,0,7,87.91,10
2015,1,2,21,30,0,1,92.89,9
2015,1,2,22,30,0,0,92.36,8
2015,1,2,23,30,0,0,98.72,8
2015,1,3,0,30,0,0,98.89,8
2015,1,3,1,30,0,7,99.48,8
2015,1,3,2,30,0,1,100,7
2015,1,3,3,30,0,1,100,7
2015,1,3,4,30,0,0,100,7
2015,1,3,5,30,0,7,100,7
2015,1,3,6,30,0,7,100,7
2015,1,3,7,30,292,0,94.6,8
2015,1,3,8,30,737,0,79.21,11
2015,1,3,9,30,391,7,63.41,14
2015,1,3,10,30,160,7,55.62,16
2015,1,3,11,30,562,7,50.52,17
2015,1,3,12,30,342,7,47.17,18
2015,1,3,13,30,993,1,47.65,18
2015,1,3,14,30,178,8,48.51,17
2015,1,3,15,30,323,8,52.05,17
2015,1,3,16,30,135,7,55.55,16
2015,1,3,17,30,0,7,71.07,14
2015,1,3,18,30,0,7,66.13,13
2015,1,3,19,30,0,7,62.89,13
2015,1,3,20,30,0,7,64.96,13
2015,1,3,21,30,0,7,68.1,12
2015,1,3,22,30,0,7,67.21,12
2015,1,3,23,30,0,7,70.99,11
2015,1,4,0,30,0,7,70.16,10
2015,1,4,1,30,0,7,74.31,10
2015,1,4,2,30,0,7,74.01,9
