Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature
2012,1,1,0,30,0,0,85.23,10
2012,1,1,1,30,0,0,89.21,9
2012,1,1,2,30,0,0,87.74,8
2012,1,1,3,30,0,7,92.74,8
2012,1,1,4,30,0,4,91.56,7
2012,1,1,5,30,0,4,90.47,7
2012,1,1,6,30,0,0,89.59,7
2012,1,1,7,30,236,0,78.28,9
2012,1,1,8,30,687,0,62.12,13
2012,1,1,9,30,861,0,46.96,16
2012,1,1,10,30,941,0,32.26,19
2012,1,1,11,30,977,0,27.12,20
2012,1,1,12,30,988,0,24.43,21
2012,1,1,13,30,632,7,26.02,21
2012,1,1,14,30,608,7,28.61,20
2012,1,1,15,30,420,7,32.06,19
2012,1,1,16,30,29,4,38.99,16
2012,1,1,17,30,379,7,54.06,14
2012,1,1,18,30,0,7,69.89,12
2012,1,1,19,30,0,7,80.63,10
2012,1,1,20,30,0,7,90.27,9
2012,1,1,21,30,0,4,96.85,9
2012,1,1,22,30,0,4,95.35,8
2012,1,1,23,30,0,4,94.22,8
2012,1,2,0,30,0,7,99.74,8
2012,1,2,1,30,0,4,99.01,8
2012,1,2,2,30,0,4,98.41,8
2012,1,2,3,30,0,4,97.42,7
2012,1,2,4,30,0,4,100,7
2012,1,2,5,30,0,4,99.79,7
2012,1,2,6,30,0,7,96.75,7
2012,1,2,7,30,0,3,94.1,7
2012,1,2,8,30,52,3,80.7,9
2012,1,2,9,30,231,3,65.2,11
2012,1,2,10,30,1,4,56.53,14
2012,1,2,11,30,19,4,53.01,15
2012,1,2,12,30,5,4,49.96,16
2012,1,2,13,30,8,4,47.11,17
2012,1,2,14,30,3,4,50.55,16
2012,1,2,15,30,0,4,53.94,15
2012,1,2,16,30,0,4,61.37,13
2012,1,2,17,30,0,4,70.44,10
2012,1,2,18,30,0,7,81.02,8
2012,1,2,19,30,0,4,90.38,7
2012,1,2,20,30,0,4,92.01,5
2012,1,2,21,30,0,4,93.61,4
2012,1,2,22,30,0,4,95.94,4
2012,1,2,23,30,0,4,91.87,3
2012,1,3,0,30,0,4,94.91,3
2012,1,3,1,30,0,4,91.43,2
2012,1,3,2,30,0,4,95.48,2
2012,1,3,3,30,0,4,94.04,2
2012,1,3,4,30,0,4,93.92,2
2012,1,3,5,30,0,4,94.72,2
2012,1,3,6,30,0,4,95.58,2
2012,1,3,7,30,0,4,83.76,3
2012,1,3,8,30,0,4,66.61,7
2012,1,3,9,30,0,4,53.66,12
2012,1,3,10,30,264,3,44.59,15
2012,1,3,11,30,1023,0,38.77,17
2012,1,3,12,30,1014,0,36.14,18
2012,1,3,13,30,1001,0,34.29,19
2012,1,3,14,30,436,8,34.98,19
2012,1,3,15,30,392,7,37.89,18
2012,1,3,16,30,377,8,41.04,16
2012,1,3,17,30,114,7,54.09,13
2012,1,3,18,30,0,7,68.81,11
2012,1,3,19,30,0,7,77.4,9
