Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature
1998,1,1,0,30,0,7,98.31,5
1998,1,1,1,30,0,7,97.21,4
1998,1,1,2,30,0,7,95.62,4
1998,1,1,3,30,0,7,100,4
1998,1,1,4,30,0,1,99.42,4
1998,1,1,5,30,0,7,97.82,4
1998,1,1,6,30,0,1,95.46,4
1998,1,1,7,30,43,7,86.89,5
1998,1,1,8,30,53,4,67.82,8
1998,1,1,9,30,606,7,48.86,12
1998,1,1,10,30,610,8,37.73,15
1998,1,1,11,30,472,3,29.71,18
1998,1,1,12,30,1005,0,27.14,19
1998,1,1,13,30,996,0,25.17,20
1998,1,1,14,30,968,0,25.37,20
1998,1,1,15,30,910,0,27.57,19
1998,1,1,16,30,795,0,32.4,17
1998,1,1,17,30,513,0,48.52,14
1998,1,1,18,30,0,0,62.15,10
1998,1,1,19,30,0,0,75.48,8
1998,1,1,20,30,0,0,83.13,7
1998,1,1,21,30,0,0,90.8,7
1998,1,1,22,30,0,0,98.2,6
1998,1,1,23,30,0,0,98.61,5
1998,1,2,0,30,0,0,100,5
1998,1,2,1,30,0,0,100,5
1998,1,2,2,30,0,0,100,4
1998,1,2,3,30,0,0,100,4
1998,1,2,4,30,0,0,100,3
1998,1,2,5,30,0,0,100,3
1998,1,2,6,30,0,1,100,3
1998,1,2,7,30,374,1,77.56,5
1998,1,2,8,30,35,3,54.47,10
1998,1,2,9,30,317,3,36.87,15
1998,1,2,10,30,1015,0,26.65,18
1998,1,2,11,30,1040,0,24.22,20
1998,1,2,12,30,1043,0,22.91,21
1998,1,2,13,30,1027,0,22.11,21
1998,1,2,14,30,992,0,24.49,21
1998,1,2,15,30,927,0,26.97,20
1998,1,2,16,30,801,0,31.47,17
1998,1,2,17,30,511,0,45.88,14
1998,1,2,18,30,0,0,61.4,11
1998,1,2,19,30,0,0,66.21,10
1998,1,2,20,30,0,0,77.86,9
1998,1,2,21,30,0,0,85.75,7
1998,1,2,22,30,0,0,94.8,7
1998,1,2,23,30,0,0,96.11,6
1998,1,3,0,30,0,0,100,6
1998,1,3,1,30,0,0,100,6
1998,1,3,2,30,0,0,100,5
1998,1,3,3,30,0,0,100,5
1998,1,3,4,30,0,0,100,4
1998,1,3,5,30,0,0,100,4
1998,1,3,6,30,0,0,96.54,4
1998,1,3,7,30,329,0,81.31,7
1998,1,3,8,30,779,0,58.62,12
1998,1,3,9,30,928,0,37.41,16
1998,1,3,10,30,991,0,24.82,19
1998,1,3,11,30,1019,0,22.44,20
1998,1,3,12,30,1025,0,21.36,21
1998,1,3,13,30,1012,0,22,22
1998,1,3,14,30,975,0,24.45,21
1998,1,3,15,30,907,0,27.37,20
1998,1,3,16,30,778,0,32.51,18
1998,1,3,17,30,486,0,49.18,15
1998,1,3,18,30,0,0,61.05,12
1998,1,3,19,30,0,0,65.66,11
1998,1,3,20,30,0,0,71.23,10
1998,1,3,21,30,0,0,76.81,9
1998,1,3,22,30,0,0,76.8,8
1998,1,3,23,30,0,0,81.67,8
1998,1,4,0,30,0,0,79.75,8
1998,1,4,1,30,0,0,77.24,8
1998,1,4,2,30,0,0,75.17,7
1998,1,4,3,30,0,0,78.18,7
1998,1,4,4,30,0,0,75.55,6
1998,1,4,5,30,0,0,78.55,6
1998,1,4,6,30,0,0,76.49,6
1998,1,4,7,30,301,0,66.79,8
1998,1,4,8,30,741,0,49.88,13
1998,1,4,9,30,894,0,35.99,16
1998,1,4,10,30,964,0,29.97,19
1998,1,4,11,30,997,0,25.41,21
1998,1,4,12,30,1005,0,23.08,22
1998,1,4,13,30,994,0,21.38,22
1998,1,4,14,30,963,0,23.02,22
1998,1,4,15,30,902,0,25.1,21
1998,1,4,16,30,225,3,29.39,19
1998,1,4,17,30,148,0,48.36,15
1998,1,4,18,30,0,0,61.23,12
1998,1,4,19,30,0,0,65.46,11
1998,1,4,20,30,0,0,68.43,10
1998,1,4,21,30,0,0,71.89,9
1998,1,4,22,30,0,0,76.39,8
1998,1,4,23,30,0,0,76.51,7
1998,1,5,0,30,0,0,82.56,7
1998,1,5,1,30,0,0,83.15,6
1998,1,5,2,30,0,0,83.78,6
1998,1,5,3,30,0,0,83.8,6
1998,1,5,4,30,0,0,83.16,6
1998,1,5,5,30,0,0,82.15,7
1998,1,5,6,30,0,0,80.87,7
1998,1,5,7,30,308,0,65.61,10
1998,1,5,8,30,748,0,52.61,14
1998,1,5,9,30,898,0,40.53,17
1998,1,5,10,30,967,0,30.05,19
1998,1,5,11,30,999,0,27.55,21
1998,1,5,12,30,1009,0,25.47,22
1998,1,5,13,30,1001,0,23.75,22
1998,1,5,14,30,974,0,25.34,22
1998,1,5,15,30,921,0,26.9,21
1998,1,5,16,30,815,0,30.42,18
1998,1,5,17,30,554,0,46.9,15
1998,1,5,18,30,0,0,56.98,12
1998,1,5,19,30,0,0,59.73,10
1998,1,5,20,30,0,0,62.43,10
1998,1,5,21,30,0,0,60.61,9
1998,1,5,22,30,0,0,63.72,9
1998,1,5,23,30,0,0,62.77,8
1998,1,6,0,30,0,0,66.06,8
1998,1,6,1,30,0,0,64.92,7
1998,1,6,2,30,0,0,68.61,7
1998,1,6,3,30,0,0,72.6,6
1998,1,6,4,30,0,0,76.93,5
1998,1,6,5,30,0,0,76.26,4
1998,1,6,6,30,0,0,76.4,4
1998,1,6,7,30,374,0,69.08,7
1998,1,6,8,30,805,0,52.12,11
1998,1,6,9,30,947,0,39.15,15
1998,1,6,10,30,1012,0,28.42,17
1998,1,6,11,30,1043,0,24.91,18
1998,1,6,12,30,1053,0,22.61,19
1998,1,6,13,30,1047,0,22.26,20
1998,1,6,14,30,1024,0,23.34,19
1998,1,6,15,30,975,0,24.6,18
1998,1,6,16,30,877,0,28.2,15
1998,1,6,17,30,628,0,40.2,12
1998,1,6,18,30,0,0,55.25,9
1998,1,6,19,30,0,0,61.3,7
1998,1,6,20,30,0,0,66.17,7
1998,1,6,21,30,0,0,66,6
1998,1,6,22,30,0,0,71.39,6
1998,1,6,23,30,0,0,78.81,5
1998,1,7,0,30,0,0,83.8,5
1998,1,7,1,30,0,0,90.26,5
1998,1,7,2,30,0,0,94.89,4
1998,1,7,3,30,0,0,100,4
1998,1,7,4,30,0,0,100,3
1998,1,7,5,30,0,0,100,3
1998,1,7,6,30,0,0,100,3
1998,1,7,7,30,340,0,97.75,5
1998,1,7,8,30,819,0,72.53,9
1998,1,7,9,30,978,0,48.61,12
1998,1,7,10,30,1044,0,29.68,15
1998,1,7,11,30,1075,0,22.46,16
1998,1,7,12,30,1086,0,19.6,17
1998,1,7,13,30,1081,0,19.19,18
1998,1,7,14,30,1059,0,19.38,18
1998,1,7,15,30,1012,0,21.35,17
1998,1,7,16,30,919,0,25.45,14
1998,1,7,17,30,683,0,38.19,11
1998,1,7,18,30,0,0,52.8,8
1998,1,7,19,30,0,0,58.74,7
1998,1,7,20,30,0,0,63.4,6
1998,1,7,21,30,0,0,62.76,5
1998,1,7,22,30,0,0,66.23,5
1998,1,7,23,30,0,0,64.95,4
1998,1,8,0,30,0,0,68.23,4
1998,1,8,1,30,0,0,66.07,3
1998,1,8,2,30,0,0,67.22,3
1998,1,8,3,30,0,0,63.69,2
1998,1,8,4,30,0,0,66.06,2
1998,1,8,5,30,0,0,65,2
1998,1,8,6,30,0,0,64.58,2
1998,1,8,7,30,434,0,54.18,4
1998,1,8,8,30,850,0,45.71,9
1998,1,8,9,30,980,0,30.54,13
1998,1,8,10,30,1039,0,22.3,16
1998,1,8,11,30,1067,0,20.07,18
1998,1,8,12,30,1078,0,18.6,19
1998,1,8,13,30,1072,0,17.6,20
1998,1,8,14,30,1050,0,18.03,19
1998,1,8,15,30,1004,0,19.51,18
1998,1,8,16,30,911,0,22.56,16
1998,1,8,17,30,679,0,38.95,12
1998,1,8,18,30,0,0,49.24,9
1998,1,8,19,30,0,0,48.28,8
1998,1,8,20,30,0,0,50.34,7
1998,1,8,21,30,0,0,52.68,7
1998,1,8,22,30,0,0,55.07,6
1998,1,8,23,30,0,0,58.24,5
1998,1,9,0,30,0,0,57.62,4
1998,1,9,1,30,0,0,61.78,4
1998,1,9,2,30,0,0,62.68,4
1998,1,9,3,30,0,0,63.68,4
1998,1,9,4,30,0,0,68.35,3
1998,1,9,5,30,0,0,67.23,2
1998,1,9,6,30,0,0,67.43,2
1998,1,9,7,30,0,0,59.63,6
1998,1,9,8,30,832,0,50.59,11
1998,1,9,9,30,968,0,40.91,15
1998,1,9,10,30,1030,0,28.28,18
1998,1,9,11,30,1059,0,21.71,19
1998,1,9,12,30,1068,0,19.4,20
1998,1,9,13,30,1061,0,19.27,21
1998,1,9,14,30,1038,0,19.48,20
1998,1,9,15,30,990,0,21.13,19
1998,1,9,16,30,894,0,26.41,17
1998,1,9,17,30,658,0,40.06,13
1998,1,9,18,30,0,0,49.24,10
1998,1,9,19,30,0,0,51.17,10
1998,1,9,20,30,0,0,49.26,10
1998,1,9,21,30,0,0,47.79,9
1998,1,9,22,30,0,0,49.99,8
1998,1,9,23,30,0,0,52.32,8
1998,1,10,0,30,0,0,51.53,7
1998,1,10,1,30,0,0,54.57,7
1998,1,10,2,30,0,0,53.98,7
1998,1,10,3,30,0,0,53.32,7
1998,1,10,4,30,0,0,52.55,7
1998,1,10,5,30,0,0,51.59,7
1998,1,10,6,30,0,0,50.49,7
1998,1,10,7,30,406,0,44.98,9
1998,1,10,8,30,829,0,38.98,13
1998,1,10,9,30,961,0,28.49,17
1998,1,10,10,30,1020,0,21.9,20
1998,1,10,11,30,1047,0,19.35,21
1998,1,10,12,30,1053,0,18.41,22
1998,1,10,13,30,1044,0,18.7,23
1998,1,10,14,30,1016,0,19.14,23
1998,1,10,15,30,964,0,20.68,22
1998,1,10,16,30,861,0,25.64,19
1998,1,10,17,30,615,0,42.78,15
1998,1,10,18,30,0,0,53.01,12
1998,1,10,19,30,0,0,52.33,11
1998,1,10,20,30,0,0,54.45,10
1998,1,10,21,30,0,0,56.11,10
1998,1,10,22,30,0,0,58.02,9
1998,1,10,23,30,0,0,56.22,8
1998,1,11,0,30,0,0,58.57,8
1998,1,11,1,30,0,0,56.95,7
1998,1,11,2,30,0,0,59.69,7
1998,1,11,3,30,0,4,59.55,7
1998,1,11,4,30,0,8,60.41,7
1998,1,11,5,30,0,4,61.52,6
1998,1,11,6,30,0,0,62.12,6
1998,1,11,7,30,0,4,55.63,9
1998,1,11,8,30,832,0,43.27,13
1998,1,11,9,30,967,0,31.1,17
1998,1,11,10,30,1026,1,22.46,20
1998,1,11,11,30,1053,0,20.5,22
1998,1,11,12,30,1060,0,19.11,23
1998,1,11,13,30,1052,0,18.08,23
1998,1,11,14,30,1026,0,19.53,23
1998,1,11,15,30,975,0,21.17,22
1998,1,11,16,30,876,0,24.87,20
1998,1,11,17,30,634,0,41.01,16
1998,1,11,18,30,0,0,50.25,13
1998,1,11,19,30,0,0,52.89,11
1998,1,11,20,30,0,0,60.78,10
1998,1,11,21,30,0,0,59.87,9
1998,1,11,22,30,0,0,62.88,9
1998,1,11,23,30,0,0,62.16,9
1998,1,12,0,30,0,0,61.34,8
1998,1,12,1,30,0,0,64.58,8
1998,1,12,2,30,0,0,63.31,8
1998,1,12,3,30,0,0,61.75,8
1998,1,12,4,30,0,0,59.93,7
1998,1,12,5,30,0,1,62.23,7
1998,1,12,6,30,0,1,60.44,7
1998,1,12,7,30,0,7,49.9,9
1998,1,12,8,30,825,0,42.23,14
1998,1,12,9,30,809,8,31.08,17
1998,1,12,10,30,644,8,24.46,20
1998,1,12,11,30,520,8,22.92,21
1998,1,12,12,30,536,8,21.78,22
1998,1,12,13,30,579,8,22.06,23
1998,1,12,14,30,1024,0,23.74,22
1998,1,12,15,30,424,3,25.51,21
1998,1,12,16,30,878,0,29.43,19
1998,1,12,17,30,643,1,41.63,15
1998,1,12,18,30,0,0,51.53,12
1998,1,12,19,30,0,0,54.26,11
1998,1,12,20,30,0,0,56.89,11
1998,1,12,21,30,0,1,55.23,11
1998,1,12,22,30,0,1,53.84,11
1998,1,12,23,30,0,0,52.84,10
