Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature
2001,1,1,0,30,0,1,100,10
2001,1,1,1,30,0,1,100,9
2001,1,1,2,30,0,1,100,9
2001,1,1,3,30,0,4,100,8
2001,1,1,4,30,0,4,100,8
2001,1,1,5,30,0,1,100,8
2001,1,1,6,30,0,1,100,8
2001,1,1,7,30,6,3,97.58,9
2001,1,1,8,30,587,0,83.93,11
2001,1,1,9,30,501,7,69.46,13
2001,1,1,10,30,427,7,61.89,15
2001,1,1,11,30,507,8,53.25,16
2001,1,1,12,30,894,0,49.28,17
2001,1,1,13,30,458,7,48.79,18
2001,1,1,14,30,370,7,52.77,17
2001,1,1,15,30,412,8,58.15,15
2001,1,1,16,30,484,8,68.74,14
2001,1,1,17,30,37,7,76.16,13
2001,1,1,18,30,0,7,84.13,12
2001,1,1,19,30,0,7,85.75,11
2001,1,1,20,30,0,1,92.37,11
2001,1,1,21,30,0,8,92.34,10
2001,1,1,22,30,0,8,98.28,10
2001,1,1,23,30,0,8,97.42,9
2001,1,2,0,30,0,0,96.37,9
2001,1,2,1,30,0,0,100,9
2001,1,2,2,30,0,0,100,9
2001,1,2,3,30,0,0,99.68,8
2001,1,2,4,30,0,0,100,8
2001,1,2,5,30,0,0,100,8
2001,1,2,6,30,0,0,100,8
2001,1,2,7,30,85,0,94.67,9
2001,1,2,8,30,506,1,76.45,11
2001,1,2,9,30,582,7,65.74,14
2001,1,2,10,30,89,8,53.26,16
2001,1,2,11,30,534,7,49.04,18
2001,1,2,12,30,396,7,45.02,19
2001,1,2,13,30,645,8,41.38,20
2001,1,2,14,30,845,0,40.73,20
2001,1,2,15,30,155,3,43.08,19
2001,1,2,16,30,169,3,46.31,17
2001,1,2,17,30,0,3,59.37,15
2001,1,2,18,30,0,1,69.03,13
2001,1,2,19,30,0,3,73.95,11
2001,1,2,20,30,0,1,84.56,10
2001,1,2,21,30,0,0,84.28,9
2001,1,2,22,30,0,0,89.29,8
2001,1,2,23,30,0,4,93.84,8
2001,1,3,0,30,0,4,91.57,7
2001,1,3,1,30,0,4,95.62,7
2001,1,3,2,30,0,4,93.2,7
2001,1,3,3,30,0,4,91.18,6
2001,1,3,4,30,0,4,96.15,6
2001,1,3,5,30,0,3,95.24,6
2001,1,3,6,30,0,4,94.73,6
2001,1,3,7,30,1,3,88.13,7
2001,1,3,8,30,380,3,72.68,9
2001,1,3,9,30,484,8,61.22,12
2001,1,3,10,30,449,8,50.81,15
2001,1,3,11,30,420,7,44.05,18
2001,1,3,12,30,604,8,37.96,19
2001,1,3,13,30,262,7,34.82,20
2001,1,3,14,30,307,7,34.26,20
2001,1,3,15,30,157,7,36.16,19
2001,1,3,16,30,81,7,41.27,18
2001,1,3,17,30,183,7,53.78,15
2001,1,3,18,30,0,7,66.78,12
2001,1,3,19,30,0,3,76.25,10
2001,1,3,20,30,0,7,87.05,8
2001,1,3,21,30,0,7,85.93,7
2001,1,3,22,30,0,3,90.3,6
2001,1,3,23,30,0,0,94.51,6
2001,1,4,0,30,0,7,92.11,5
2001,1,4,1,30,0,7,96.63,5
2001,1,4,2,30,0,8,94.63,4
2001,1,4,3,30,0,7,93.18,4
2001,1,4,4,30,0,7,92.57,4
2001,1,4,5,30,0,4,93.2,4
2001,1,4,6,30,0,7,95.27,4
2001,1,4,7,30,306,7,84.89,6
2001,1,4,8,30,751,0,67.73,10
2001,1,4,9,30,904,0,54.17,15
2001,1,4,10,30,973,0,43.59,18
2001,1,4,11,30,1005,0,34.51,20
2001,1,4,12,30,1014,0,31.62,21
2001,1,4,13,30,1005,0,29.27,22
2001,1,4,14,30,975,0,30.93,22
2001,1,4,15,30,914,0,33.07,21
2001,1,4,16,30,797,0,37.89,19
2001,1,4,17,30,521,0,50.11,16
2001,1,4,18,30,0,0,64.72,13
2001,1,4,19,30,0,0,73.08,11
2001,1,4,20,30,0,0,78.78,9
2001,1,4,21,30,0,0,84.79,9
2001,1,4,22,30,0,0,84.49,8
2001,1,4,23,30,0,0,89.95,8
2001,1,5,0,30,0,0,95.71,7
2001,1,5,1,30,0,0,94.73,7
2001,1,5,2,30,0,0,99.93,6
2001,1,5,3,30,0,0,98.4,6
2001,1,5,4,30,0,0,97.17,6
2001,1,5,5,30,0,0,95.68,6
2001,1,5,6,30,0,0,93.95,6
2001,1,5,7,30,333,0,75.38,9
2001,1,5,8,30,762,0,58.16,13
2001,1,5,9,30,907,0,44.93,17
2001,1,5,10,30,973,0,36.89,19
2001,1,5,11,30,1005,0,34.11,21
2001,1,5,12,30,1016,0,31.45,22
2001,1,5,13,30,1008,0,29.1,22
2001,1,5,14,30,980,0,30.72,22
2001,1,5,15,30,921,0,32.6,21
2001,1,5,16,30,805,0,37.04,19
2001,1,5,17,30,528,0,48.24,16
2001,1,5,18,30,0,0,61.44,13
2001,1,5,19,30,0,0,67.86,12
2001,1,5,20,30,0,0,75.82,10
2001,1,5,21,30,0,0,84.73,9
2001,1,5,22,30,0,0,93.39,9
2001,1,5,23,30,0,0,99.95,8
2001,1,6,0,30,0,0,97.35,8
2001,1,6,1,30,0,0,93.56,8
2001,1,6,2,30,0,0,89.23,7
2001,1,6,3,30,0,0,85.58,7
2001,1,6,4,30,0,0,89.07,7
2001,1,6,5,30,0,0,87.13,7
2001,1,6,6,30,0,0,85.2,7
2001,1,6,7,30,376,0,72.35,9
2001,1,6,8,30,812,0,53.9,13
2001,1,6,9,30,944,0,35.77,16
2001,1,6,10,30,1012,0,26.41,19
2001,1,6,11,30,1043,0,21.81,21
2001,1,6,12,30,1051,0,19.43,22
2001,1,6,13,30,1041,0,17.65,23
2001,1,6,14,30,1011,0,18.57,23
2001,1,6,15,30,952,0,20.04,22
2001,1,6,16,30,837,0,23.62,20
2001,1,6,17,30,563,3,37.93,16
2001,1,6,18,30,0,1,49.98,13
2001,1,6,19,30,0,0,54.08,13
2001,1,6,20,30,0,0,59.92,12
2001,1,6,21,30,0,0,60.38,11
2001,1,6,22,30,0,0,64.54,11
2001,1,6,23,30,0,0,64.56,10
2001,1,7,0,30,0,0,70.01,10
2001,1,7,1,30,0,0,77.33,9
2001,1,7,2,30,0,0,80.22,9
2001,1,7,3,30,0,0,88.82,8
2001,1,7,4,30,0,0,91.1,8
2001,1,7,5,30,0,0,92.38,7
2001,1,7,6,30,0,0,92.23,7
2001,1,7,7,30,293,0,79.9,10
2001,1,7,8,30,744,0,62.47,14
2001,1,7,9,30,892,0,44.05,18
2001,1,7,10,30,958,0,32.03,21
2001,1,7,11,30,988,0,29.01,22
2001,1,7,12,30,996,0,27.08,23
2001,1,7,13,30,980,0,25.88,24
2001,1,7,14,30,940,0,28.33,23
2001,1,7,15,30,865,0,31.08,22
2001,1,7,16,30,724,0,36.6,20
2001,1,7,17,30,421,7,50.41,17
2001,1,7,18,30,0,7,61.95,14
2001,1,7,19,30,0,0,69.14,13
2001,1,7,20,30,0,0,75.63,13
2001,1,7,21,30,0,0,81.76,12
2001,1,7,22,30,0,0,87.13,11
2001,1,7,23,30,0,0,92.18,10
2001,1,8,0,30,0,0,97.22,9
2001,1,8,1,30,0,0,100,8
2001,1,8,2,30,0,0,100,8
2001,1,8,3,30,0,0,100,7
2001,1,8,4,30,0,0,100,7
2001,1,8,5,30,0,0,100,7
2001,1,8,6,30,0,0,99.15,7
2001,1,8,7,30,165,0,91.59,9
2001,1,8,8,30,637,0,79.77,11
2001,1,8,9,30,740,0,60.03,15
2001,1,8,10,30,835,0,46.86,18
2001,1,8,11,30,336,3,39.17,20
2001,1,8,12,30,862,1,35.68,21
2001,1,8,13,30,831,1,35.71,21
2001,1,8,14,30,539,7,39.33,20
2001,1,8,15,30,350,7,43.74,19
2001,1,8,16,30,262,7,53.13,17
2001,1,8,17,30,89,7,67.61,15
2001,1,8,18,30,0,7,78.89,13
2001,1,8,19,30,0,1,85.41,12
2001,1,8,20,30,0,3,86.21,11
2001,1,8,21,30,0,8,92.58,10
2001,1,8,22,30,0,7,99.61,10
2001,1,8,23,30,0,7,99.65,10
2001,1,9,0,30,0,8,99.28,10
2001,1,9,1,30,0,7,98.7,10
2001,1,9,2,30,0,7,98.37,10
2001,1,9,3,30,0,7,98.29,10
2001,1,9,4,30,0,7,98.67,10
2001,1,9,5,30,0,7,99.35,10
2001,1,9,6,30,0,7,99.8,10
2001,1,9,7,30,0,7,100,10
2001,1,9,8,30,238,8,97.06,11
2001,1,9,9,30,498,8,92.57,12
2001,1,9,10,30,341,8,86.29,13
2001,1,9,11,30,131,8,78.59,14
2001,1,9,12,30,165,7,71.09,15
2001,1,9,13,30,28,8,68.64,15
2001,1,9,14,30,46,8,68.53,14
2001,1,9,15,30,257,4,74.1,14
2001,1,9,16,30,309,7,80.25,13
2001,1,9,17,30,41,6,87.8,12
2001,1,9,18,30,0,6,88.85,11
2001,1,9,19,30,0,6,95.41,11
2001,1,9,20,30,0,7,95.43,11
2001,1,9,21,30,0,7,95.43,10
2001,1,9,22,30,0,7,100,10
2001,1,9,23,30,0,8,100,9
2001,1,10,0,30,0,7,100,9
2001,1,10,1,30,0,8,100,8
2001,1,10,2,30,0,7,100,8
2001,1,10,3,30,0,7,100,8
2001,1,10,4,30,0,1,100,7
2001,1,10,5,30,0,1,100,7
2001,1,10,6,30,0,1,100,7
2001,1,10,7,30,154,0,96.42,9
2001,1,10,8,30,638,0,78.9,12
2001,1,10,9,30,827,1,63.39,15
2001,1,10,10,30,498,8,54.44,17
2001,1,10,11,30,348,7,50.6,18
2001,1,10,12,30,553,7,47.39,19
2001,1,10,13,30,411,7,44.74,19
2001,1,10,14,30,102,8,47.97,19
2001,1,10,15,30,180,4,51.22,18
2001,1,10,16,30,551,8,54.7,16
2001,1,10,17,30,239,7,64.62,14
2001,1,10,18,30,0,4,74.95,12
2001,1,10,19,30,0,4,80.32,11
2001,1,10,20,30,0,7,85.8,11
2001,1,10,21,30,0,7,85.74,10
2001,1,10,22,30,0,7,91.78,10
2001,1,10,23,30,0,7,91.43,9
2001,1,11,0,30,0,7,97.27,9
2001,1,11,1,30,0,7,96.57,9
2001,1,11,2,30,0,0,95.91,9
2001,1,11,3,30,0,0,95.5,8
2001,1,11,4,30,0,0,100,8
2001,1,11,5,30,0,0,100,8
2001,1,11,6,30,0,0,100,8
2001,1,11,7,30,0,3,89.37,10
2001,1,11,8,30,67,3,69.45,13
2001,1,11,9,30,266,3,55.63,16
2001,1,11,10,30,122,3,47.31,19
2001,1,11,11,30,945,1,40.29,20
2001,1,11,12,30,955,0,36.57,21
2001,1,11,13,30,393,3,35.66,22
2001,1,11,14,30,891,1,37.72,21
2001,1,11,15,30,394,3,40.3,20
2001,1,11,16,30,0,3,43.49,19
2001,1,11,17,30,89,3,55.57,16
2001,1,11,18,30,0,3,66.88,14
2001,1,11,19,30,0,4,71.64,13
2001,1,11,20,30,0,4,77.2,12
2001,1,11,21,30,0,0,78.11,11
2001,1,11,22,30,0,0,84.38,11
